regulation_id,country_id,rule_type,description,effective_date,end_date,is_active,tax_rate,compliance_category
REG000537,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2023,2023-10-24,2025-09-25,False,,Payroll Reporting
REG000538,DE,Social Security,Social Security regulation for Germany in 2024,2024-06-13,2025-07-13,False,0.25,Payroll Reporting
REG000539,JP,Overtime Pay,Overtime Pay regulation for Japan in 2023,2023-06-26,2024-07-20,False,,Payroll Reporting
REG000540,US,Social Security,Social Security regulation for United States in 2024,2024-10-26,9999-12-31,True,0.31,Labor Law
REG000541,UK,Social Security,Social Security regulation for United Kingdom in 2025,2025-02-09,9999-12-31,True,0.17,Labor Law
REG000542,UK,Social Security,Social Security regulation for United Kingdom in 2024,2024-02-25,9999-12-31,True,0.38,Payroll Reporting
REG000543,ZA,Income Tax,Income Tax regulation for South Africa in 2023,2023-12-04,2024-08-30,False,0.26,Payroll Reporting
REG000544,UK,Social Security,Social Security regulation for United Kingdom in 2025,2025-01-17,9999-12-31,True,0.38,Payroll Reporting
REG000545,JP,Payroll Reporting,Payroll Reporting regulation for Japan in 2024,2024-05-16,2025-02-20,False,,Payroll Reporting
REG000546,IN,Income Tax,Income Tax regulation for India in 2024,2024-08-21,2025-02-24,False,0.37,Labor Law
REG000547,ZA,Income Tax,Income Tax regulation for South Africa in 2025,2025-04-20,9999-12-31,True,0.36,Taxation
REG000548,FR,Payroll Reporting,Payroll Reporting regulation for France in 2025,2025-03-15,9999-12-31,True,,Taxation
REG000549,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-01-07,9999-12-31,True,,Payroll Reporting
REG000550,JP,Social Security,Social Security regulation for Japan in 2025,2025-01-23,9999-12-31,True,0.22,Payroll Reporting
REG000551,BR,Social Security,Social Security regulation for Brazil in 2024,2024-02-24,2026-01-27,False,0.3,Labor Law
REG000552,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2024,2024-02-10,2024-09-24,False,,Taxation
REG000553,AU,Income Tax,Income Tax regulation for Australia in 2024,2024-06-12,2026-04-25,False,0.2,Payroll Reporting
REG000554,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2024,2024-05-26,9999-12-31,True,,Taxation
REG000555,AU,Minimum Wage,Minimum Wage regulation for Australia in 2024,2024-03-01,2024-09-10,False,,Labor Law
REG000556,FR,Social Security,Social Security regulation for France in 2024,2024-08-21,9999-12-31,True,0.33,Payroll Reporting
REG000557,BR,Income Tax,Income Tax regulation for Brazil in 2023,2023-11-11,2025-04-11,False,0.2,Taxation
REG000558,AU,Overtime Pay,Overtime Pay regulation for Australia in 2024,2024-01-08,9999-12-31,True,,Labor Law
REG000559,IN,Employee Benefits,Employee Benefits regulation for India in 2024,2024-08-15,9999-12-31,True,,Payroll Reporting
REG000560,FR,Payroll Reporting,Payroll Reporting regulation for France in 2023,2023-06-26,9999-12-31,True,,Payroll Reporting
REG000561,CA,Employee Benefits,Employee Benefits regulation for Canada in 2024,2024-06-09,2025-09-01,False,,Taxation
REG000562,CA,Minimum Wage,Minimum Wage regulation for Canada in 2023,2023-10-04,9999-12-31,True,,Taxation
REG000563,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2025,2025-03-04,9999-12-31,True,,Taxation
REG000564,CA,Overtime Pay,Overtime Pay regulation for Canada in 2024,2024-09-21,9999-12-31,True,,Payroll Reporting
REG000565,UK,Social Security,Social Security regulation for United Kingdom in 2025,2025-05-16,9999-12-31,True,0.38,Payroll Reporting
REG000566,AU,Income Tax,Income Tax regulation for Australia in 2023,2023-07-11,9999-12-31,True,0.22,Labor Law
REG000567,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2023,2023-07-06,2025-07-01,False,,Payroll Reporting
REG000568,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2025,2025-05-10,9999-12-31,True,,Taxation
REG000569,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2023,2023-09-04,2025-06-06,False,,Payroll Reporting
REG000570,FR,Payroll Reporting,Payroll Reporting regulation for France in 2023,2023-07-20,9999-12-31,True,,Taxation
REG000571,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2025,2025-05-12,9999-12-31,True,,Labor Law
REG000572,CA,Minimum Wage,Minimum Wage regulation for Canada in 2024,2024-03-18,2026-02-20,False,,Labor Law
REG000573,CA,Overtime Pay,Overtime Pay regulation for Canada in 2023,2023-06-27,2024-10-19,False,,Taxation
REG000574,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-12-02,2026-04-01,False,,Taxation
REG000575,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-06-26,9999-12-31,True,,Taxation
REG000576,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2024,2024-01-30,2025-03-08,False,,Labor Law
REG000577,JP,Employee Benefits,Employee Benefits regulation for Japan in 2024,2024-11-23,9999-12-31,True,,Taxation
REG000578,AU,Payroll Reporting,Payroll Reporting regulation for Australia in 2023,2023-09-20,2025-03-27,False,,Labor Law
REG000579,IN,Payroll Reporting,Payroll Reporting regulation for India in 2024,2024-10-02,9999-12-31,True,,Payroll Reporting
REG000580,FR,Social Security,Social Security regulation for France in 2023,2023-06-02,9999-12-31,True,0.25,Payroll Reporting
REG000581,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2024,2024-04-07,9999-12-31,True,,Taxation
REG000582,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-06-05,2025-12-14,False,0.38,Payroll Reporting
REG000583,CA,Employee Benefits,Employee Benefits regulation for Canada in 2024,2024-03-09,9999-12-31,True,,Taxation
REG000584,BR,Social Security,Social Security regulation for Brazil in 2025,2025-03-29,9999-12-31,True,0.19,Labor Law
REG000585,AU,Income Tax,Income Tax regulation for Australia in 2025,2025-04-14,9999-12-31,True,0.26,Payroll Reporting
REG000586,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2023,2023-12-21,9999-12-31,True,,Payroll Reporting
REG000587,DE,Overtime Pay,Overtime Pay regulation for Germany in 2023,2023-11-19,9999-12-31,True,,Labor Law
REG000588,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2024,2024-08-12,2026-03-08,False,,Labor Law
REG000589,CA,Overtime Pay,Overtime Pay regulation for Canada in 2024,2024-12-24,9999-12-31,True,,Payroll Reporting
REG000590,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-03-31,2025-07-14,False,,Payroll Reporting
REG000591,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2024,2024-12-16,2026-03-15,False,,Payroll Reporting
REG000592,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-08-16,2025-04-18,False,0.23,Labor Law
REG000593,US,Social Security,Social Security regulation for United States in 2025,2025-02-01,9999-12-31,True,0.37,Taxation
REG000594,JP,Employee Benefits,Employee Benefits regulation for Japan in 2024,2024-03-30,9999-12-31,True,,Labor Law
REG000595,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2024,2024-09-28,9999-12-31,True,,Payroll Reporting
REG000596,CA,Income Tax,Income Tax regulation for Canada in 2023,2023-08-04,9999-12-31,True,0.34,Labor Law
REG000597,CA,Employee Benefits,Employee Benefits regulation for Canada in 2025,2025-03-20,9999-12-31,True,,Labor Law
REG000598,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-11-19,9999-12-31,True,,Payroll Reporting
REG000599,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2023,2023-07-21,9999-12-31,True,,Payroll Reporting
REG000600,FR,Overtime Pay,Overtime Pay regulation for France in 2023,2023-08-28,2024-03-21,False,,Payroll Reporting
REG000601,IN,Payroll Reporting,Payroll Reporting regulation for India in 2025,2025-03-02,9999-12-31,True,,Payroll Reporting
REG000602,IN,Payroll Reporting,Payroll Reporting regulation for India in 2023,2023-08-05,2024-11-22,False,,Payroll Reporting
REG000603,BR,Social Security,Social Security regulation for Brazil in 2025,2025-03-07,9999-12-31,True,0.33,Taxation
REG000604,IN,Overtime Pay,Overtime Pay regulation for India in 2025,2025-05-26,9999-12-31,True,,Payroll Reporting
REG000605,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-03-29,9999-12-31,True,,Payroll Reporting
REG000606,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2025,2025-03-27,9999-12-31,True,,Payroll Reporting
REG000607,IN,Income Tax,Income Tax regulation for India in 2023,2023-06-24,9999-12-31,True,0.22,Labor Law
REG000608,FR,Income Tax,Income Tax regulation for France in 2024,2024-04-25,2025-12-21,False,0.22,Taxation
REG000609,US,Social Security,Social Security regulation for United States in 2023,2023-06-07,2025-01-10,False,0.37,Labor Law
REG000610,IN,Income Tax,Income Tax regulation for India in 2024,2024-04-07,9999-12-31,True,0.34,Taxation
REG000611,IN,Employee Benefits,Employee Benefits regulation for India in 2025,2025-03-31,9999-12-31,True,,Payroll Reporting
REG000612,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2025,2025-02-20,9999-12-31,True,,Payroll Reporting
REG000613,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2023,2023-08-19,9999-12-31,True,,Taxation
REG000614,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2025,2025-05-25,9999-12-31,True,,Labor Law
REG000615,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2024,2024-11-13,9999-12-31,True,,Labor Law
REG000616,FR,Minimum Wage,Minimum Wage regulation for France in 2023,2023-10-01,9999-12-31,True,,Taxation
REG000617,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-03-05,9999-12-31,True,,Labor Law
REG000618,IN,Employee Benefits,Employee Benefits regulation for India in 2024,2024-12-02,2026-03-09,False,,Labor Law
REG000619,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-01-24,2024-08-18,False,,Payroll Reporting
REG000620,IN,Social Security,Social Security regulation for India in 2023,2023-07-12,9999-12-31,True,0.33,Labor Law
REG000621,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2024,2024-07-11,2026-02-15,False,,Labor Law
REG000622,DE,Minimum Wage,Minimum Wage regulation for Germany in 2024,2024-11-10,9999-12-31,True,,Labor Law
REG000623,US,Income Tax,Income Tax regulation for United States in 2025,2025-03-31,9999-12-31,True,0.26,Taxation
REG000624,FR,Social Security,Social Security regulation for France in 2024,2024-03-29,2025-05-06,False,0.12,Payroll Reporting
REG000625,AU,Employee Benefits,Employee Benefits regulation for Australia in 2025,2025-04-02,9999-12-31,True,,Payroll Reporting
REG000626,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2023,2023-12-08,2025-06-04,False,,Payroll Reporting
REG000627,IN,Employee Benefits,Employee Benefits regulation for India in 2024,2024-03-31,9999-12-31,True,,Labor Law
REG000628,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-08-25,2025-05-26,False,,Labor Law
REG000629,ZA,Income Tax,Income Tax regulation for South Africa in 2023,2023-12-23,9999-12-31,True,0.16,Payroll Reporting
REG000630,AU,Income Tax,Income Tax regulation for Australia in 2024,2024-03-14,9999-12-31,True,0.32,Labor Law
REG000631,AU,Income Tax,Income Tax regulation for Australia in 2023,2023-11-06,9999-12-31,True,0.35,Labor Law
REG000632,CA,Employee Benefits,Employee Benefits regulation for Canada in 2024,2024-01-05,2025-08-15,False,,Labor Law
REG000633,IN,Social Security,Social Security regulation for India in 2023,2023-09-28,9999-12-31,True,0.27,Labor Law
REG000634,FR,Social Security,Social Security regulation for France in 2023,2023-12-18,9999-12-31,True,0.12,Labor Law
REG000635,CA,Overtime Pay,Overtime Pay regulation for Canada in 2025,2025-02-17,9999-12-31,True,,Payroll Reporting
REG000636,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2025,2025-03-02,9999-12-31,True,,Payroll Reporting
REG000637,FR,Minimum Wage,Minimum Wage regulation for France in 2023,2023-11-02,9999-12-31,True,,Taxation
REG000638,AU,Income Tax,Income Tax regulation for Australia in 2024,2024-03-12,9999-12-31,True,0.18,Payroll Reporting
REG000639,FR,Payroll Reporting,Payroll Reporting regulation for France in 2024,2024-04-26,2025-09-12,False,,Taxation
REG000640,UK,Social Security,Social Security regulation for United Kingdom in 2023,2023-11-02,9999-12-31,True,0.19,Payroll Reporting
REG000641,AU,Minimum Wage,Minimum Wage regulation for Australia in 2024,2024-12-31,9999-12-31,True,,Labor Law
REG000642,FR,Employee Benefits,Employee Benefits regulation for France in 2024,2024-08-12,2026-04-19,False,,Taxation
REG000643,JP,Social Security,Social Security regulation for Japan in 2023,2023-08-23,9999-12-31,True,0.31,Labor Law
REG000644,JP,Income Tax,Income Tax regulation for Japan in 2023,2023-11-25,9999-12-31,True,0.13,Payroll Reporting
REG000645,JP,Overtime Pay,Overtime Pay regulation for Japan in 2024,2024-08-17,9999-12-31,True,,Taxation
REG000646,CA,Social Security,Social Security regulation for Canada in 2024,2024-06-24,9999-12-31,True,0.2,Taxation
REG000647,CA,Social Security,Social Security regulation for Canada in 2025,2025-01-22,9999-12-31,True,0.23,Payroll Reporting
REG000648,DE,Social Security,Social Security regulation for Germany in 2024,2024-11-04,9999-12-31,True,0.38,Taxation
REG000649,FR,Payroll Reporting,Payroll Reporting regulation for France in 2024,2024-06-08,9999-12-31,True,,Payroll Reporting
REG000650,FR,Income Tax,Income Tax regulation for France in 2023,2023-12-01,9999-12-31,True,0.28,Labor Law
REG000651,JP,Minimum Wage,Minimum Wage regulation for Japan in 2024,2024-10-25,2026-02-25,False,,Taxation
REG000652,AU,Overtime Pay,Overtime Pay regulation for Australia in 2024,2024-05-13,9999-12-31,True,,Labor Law
REG000653,JP,Employee Benefits,Employee Benefits regulation for Japan in 2025,2025-01-22,9999-12-31,True,,Taxation
REG000654,IN,Overtime Pay,Overtime Pay regulation for India in 2023,2023-10-17,9999-12-31,True,,Taxation
REG000655,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-01-12,2025-01-09,False,,Payroll Reporting
REG000656,BR,Income Tax,Income Tax regulation for Brazil in 2023,2023-09-29,2024-04-30,False,0.12,Taxation
REG000657,US,Social Security,Social Security regulation for United States in 2023,2023-07-25,2024-12-29,False,0.39,Payroll Reporting
REG000658,AU,Employee Benefits,Employee Benefits regulation for Australia in 2023,2023-09-10,9999-12-31,True,,Payroll Reporting
REG000659,AU,Social Security,Social Security regulation for Australia in 2024,2024-02-25,9999-12-31,True,0.19,Taxation
REG000660,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2025,2025-04-18,9999-12-31,True,,Taxation
REG000661,US,Overtime Pay,Overtime Pay regulation for United States in 2024,2024-09-08,2026-07-11,False,,Taxation
REG000662,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-08-25,9999-12-31,True,,Labor Law
REG000663,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-09-24,9999-12-31,True,,Taxation
REG000664,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2024,2024-03-12,2025-05-21,False,,Taxation
REG000665,JP,Social Security,Social Security regulation for Japan in 2024,2024-08-06,9999-12-31,True,0.14,Taxation
REG000666,CA,Income Tax,Income Tax regulation for Canada in 2023,2023-11-01,9999-12-31,True,0.4,Taxation
REG000667,ZA,Social Security,Social Security regulation for South Africa in 2024,2024-05-12,9999-12-31,True,0.3,Taxation
REG000668,AU,Overtime Pay,Overtime Pay regulation for Australia in 2023,2023-09-14,9999-12-31,True,,Payroll Reporting
REG000669,US,Income Tax,Income Tax regulation for United States in 2024,2024-10-13,9999-12-31,True,0.36,Taxation
REG000670,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2024,2024-10-12,2025-11-10,False,,Taxation
REG000671,ZA,Income Tax,Income Tax regulation for South Africa in 2023,2023-06-20,9999-12-31,True,0.17,Taxation
REG000672,AU,Social Security,Social Security regulation for Australia in 2023,2023-06-11,2024-04-05,False,0.34,Taxation
REG000673,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2023,2023-06-23,2024-11-27,False,,Labor Law
REG000674,CA,Minimum Wage,Minimum Wage regulation for Canada in 2024,2024-01-04,9999-12-31,True,,Taxation
REG000675,CA,Social Security,Social Security regulation for Canada in 2024,2024-12-07,2026-04-06,False,0.33,Labor Law
REG000676,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2024,2024-01-29,2024-08-01,False,,Taxation
REG000677,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2023,2023-11-26,2025-08-06,False,,Taxation
REG000678,CA,Social Security,Social Security regulation for Canada in 2025,2025-01-18,9999-12-31,True,0.32,Payroll Reporting
REG000679,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2024,2024-09-25,9999-12-31,True,,Labor Law
REG000680,FR,Employee Benefits,Employee Benefits regulation for France in 2024,2024-11-17,2026-01-19,False,,Labor Law
REG000681,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2024,2024-06-08,2025-06-04,False,,Payroll Reporting
REG000682,FR,Social Security,Social Security regulation for France in 2024,2024-12-13,2026-07-30,False,0.35,Taxation
REG000683,AU,Employee Benefits,Employee Benefits regulation for Australia in 2025,2025-04-01,9999-12-31,True,,Taxation
REG000684,DE,Overtime Pay,Overtime Pay regulation for Germany in 2024,2024-03-20,2025-08-22,False,,Payroll Reporting
REG000685,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2023,2023-08-10,2025-03-11,False,,Taxation
REG000686,AU,Social Security,Social Security regulation for Australia in 2023,2023-12-07,9999-12-31,True,0.29,Labor Law
REG000687,DE,Minimum Wage,Minimum Wage regulation for Germany in 2024,2024-04-06,9999-12-31,True,,Labor Law
REG000688,FR,Minimum Wage,Minimum Wage regulation for France in 2025,2025-05-12,9999-12-31,True,,Taxation
REG000689,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-05-03,2025-04-11,False,,Labor Law
REG000690,FR,Minimum Wage,Minimum Wage regulation for France in 2024,2024-04-01,2025-12-16,False,,Payroll Reporting
REG000691,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-03-21,9999-12-31,True,,Labor Law
REG000692,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2025,2025-04-10,9999-12-31,True,,Payroll Reporting
REG000693,DE,Social Security,Social Security regulation for Germany in 2024,2024-07-22,2025-09-30,False,0.15,Taxation
REG000694,DE,Overtime Pay,Overtime Pay regulation for Germany in 2025,2025-01-26,9999-12-31,True,,Payroll Reporting
REG000695,IN,Minimum Wage,Minimum Wage regulation for India in 2024,2024-05-15,9999-12-31,True,,Labor Law
REG000696,FR,Income Tax,Income Tax regulation for France in 2025,2025-02-01,9999-12-31,True,0.15,Labor Law
REG000697,DE,Social Security,Social Security regulation for Germany in 2024,2024-10-12,9999-12-31,True,0.2,Taxation
REG000698,CA,Overtime Pay,Overtime Pay regulation for Canada in 2023,2023-09-20,2025-08-12,False,,Payroll Reporting
REG000699,DE,Social Security,Social Security regulation for Germany in 2024,2024-09-29,9999-12-31,True,0.22,Taxation
REG000700,DE,Employee Benefits,Employee Benefits regulation for Germany in 2023,2023-09-21,9999-12-31,True,,Labor Law
REG000701,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2025,2025-01-18,9999-12-31,True,,Payroll Reporting
REG000702,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2024,2024-12-04,9999-12-31,True,,Labor Law
REG000703,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-02-23,9999-12-31,True,,Payroll Reporting
REG000704,JP,Income Tax,Income Tax regulation for Japan in 2024,2024-11-27,9999-12-31,True,0.22,Payroll Reporting
REG000705,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2023,2023-11-08,2024-08-04,False,,Taxation
REG000706,BR,Income Tax,Income Tax regulation for Brazil in 2023,2023-07-27,2024-08-23,False,0.24,Labor Law
REG000707,US,Overtime Pay,Overtime Pay regulation for United States in 2023,2023-08-22,9999-12-31,True,,Taxation
REG000708,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-01-11,2025-11-14,False,,Payroll Reporting
REG000709,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-11-03,9999-12-31,True,,Labor Law
REG000710,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2025,2025-04-07,9999-12-31,True,,Taxation
REG000711,UK,Social Security,Social Security regulation for United Kingdom in 2023,2023-08-22,9999-12-31,True,0.39,Labor Law
REG000712,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2024,2024-01-24,2025-10-17,False,,Labor Law
REG000713,IN,Minimum Wage,Minimum Wage regulation for India in 2024,2024-03-25,2025-02-15,False,,Payroll Reporting
REG000714,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2025,2025-01-01,9999-12-31,True,,Taxation
REG000715,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-12-28,2026-06-13,False,,Labor Law
REG000716,BR,Social Security,Social Security regulation for Brazil in 2024,2024-09-13,9999-12-31,True,0.24,Payroll Reporting
REG000717,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2023,2023-10-07,2024-04-15,False,,Taxation
REG000718,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2024,2024-09-03,2026-08-01,False,,Payroll Reporting
REG000719,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2023,2023-12-07,9999-12-31,True,,Taxation
REG000720,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-04-10,2025-08-02,False,,Payroll Reporting
REG000721,FR,Income Tax,Income Tax regulation for France in 2024,2024-06-03,2026-03-07,False,0.4,Taxation
REG000722,DE,Employee Benefits,Employee Benefits regulation for Germany in 2025,2025-01-22,9999-12-31,True,,Payroll Reporting
REG000723,BR,Social Security,Social Security regulation for Brazil in 2025,2025-02-19,9999-12-31,True,0.2,Payroll Reporting
REG000724,UK,Income Tax,Income Tax regulation for United Kingdom in 2024,2024-02-23,9999-12-31,True,0.39,Taxation
REG000725,IN,Minimum Wage,Minimum Wage regulation for India in 2024,2024-05-03,9999-12-31,True,,Taxation
REG000726,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-11-22,9999-12-31,True,,Payroll Reporting
REG000727,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2024,2024-04-13,9999-12-31,True,,Taxation
REG000728,BR,Social Security,Social Security regulation for Brazil in 2025,2025-04-21,9999-12-31,True,0.17,Labor Law
REG000729,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2025,2025-01-24,9999-12-31,True,,Payroll Reporting
REG000730,DE,Overtime Pay,Overtime Pay regulation for Germany in 2024,2024-09-23,9999-12-31,True,,Payroll Reporting
REG000731,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2024,2024-07-23,9999-12-31,True,,Labor Law
REG000732,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-06-19,2024-03-15,False,,Payroll Reporting
REG000733,US,Income Tax,Income Tax regulation for United States in 2024,2024-03-21,2026-02-04,False,0.28,Taxation
REG000734,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2025,2025-01-02,9999-12-31,True,,Payroll Reporting
REG000735,UK,Income Tax,Income Tax regulation for United Kingdom in 2024,2024-07-26,2025-02-01,False,0.39,Payroll Reporting
REG000736,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2024,2024-10-07,9999-12-31,True,,Taxation
REG000737,US,Minimum Wage,Minimum Wage regulation for United States in 2024,2024-08-08,9999-12-31,True,,Taxation
REG000738,IN,Payroll Reporting,Payroll Reporting regulation for India in 2024,2024-11-10,2026-07-10,False,,Taxation
REG000739,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2023,2023-10-23,9999-12-31,True,,Payroll Reporting
REG000740,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2025,2025-05-08,9999-12-31,True,,Payroll Reporting
REG000741,US,Social Security,Social Security regulation for United States in 2025,2025-04-25,9999-12-31,True,0.19,Taxation
REG000742,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2024,2024-11-05,2026-03-09,False,,Payroll Reporting
REG000743,CA,Social Security,Social Security regulation for Canada in 2023,2023-12-20,9999-12-31,True,0.16,Taxation
REG000744,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2024,2024-02-14,9999-12-31,True,,Payroll Reporting
REG000745,FR,Payroll Reporting,Payroll Reporting regulation for France in 2024,2024-04-27,9999-12-31,True,,Labor Law
REG000746,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-01-24,9999-12-31,True,0.38,Labor Law
REG000747,US,Income Tax,Income Tax regulation for United States in 2024,2024-04-20,2026-02-21,False,0.13,Payroll Reporting
REG000748,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-09-08,9999-12-31,True,,Taxation
REG000749,IN,Employee Benefits,Employee Benefits regulation for India in 2025,2025-01-25,9999-12-31,True,,Taxation
REG000750,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2024,2024-10-03,2025-04-17,False,,Taxation
REG000751,CA,Overtime Pay,Overtime Pay regulation for Canada in 2024,2024-05-02,9999-12-31,True,,Taxation
REG000752,JP,Payroll Reporting,Payroll Reporting regulation for Japan in 2023,2023-12-03,9999-12-31,True,,Labor Law
REG000753,UK,Income Tax,Income Tax regulation for United Kingdom in 2023,2023-10-11,9999-12-31,True,0.35,Labor Law
REG000754,CA,Minimum Wage,Minimum Wage regulation for Canada in 2025,2025-02-07,9999-12-31,True,,Taxation
REG000755,FR,Employee Benefits,Employee Benefits regulation for France in 2023,2023-11-10,9999-12-31,True,,Payroll Reporting
REG000756,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-08-31,2026-08-03,False,,Labor Law
REG000757,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-01-10,2025-09-19,False,,Taxation
REG000758,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-09-03,9999-12-31,True,0.27,Taxation
REG000759,US,Employee Benefits,Employee Benefits regulation for United States in 2025,2025-03-15,9999-12-31,True,,Labor Law
REG000760,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2025,2025-02-16,9999-12-31,True,,Taxation
REG000761,DE,Income Tax,Income Tax regulation for Germany in 2023,2023-10-29,2024-10-16,False,0.17,Taxation
REG000762,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-10-13,2025-05-30,False,,Taxation
REG000763,BR,Income Tax,Income Tax regulation for Brazil in 2024,2024-08-16,2025-09-23,False,0.2,Labor Law
REG000764,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2024,2024-12-12,2025-12-16,False,,Labor Law
REG000765,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-12-07,2025-05-22,False,,Labor Law
REG000766,IN,Minimum Wage,Minimum Wage regulation for India in 2025,2025-04-27,9999-12-31,True,,Taxation
REG000767,FR,Employee Benefits,Employee Benefits regulation for France in 2024,2024-03-08,2024-11-19,False,,Taxation
REG000768,IN,Employee Benefits,Employee Benefits regulation for India in 2023,2023-07-19,2024-10-30,False,,Labor Law
REG000769,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2024,2024-01-06,2025-04-12,False,,Payroll Reporting
REG000770,JP,Minimum Wage,Minimum Wage regulation for Japan in 2023,2023-12-25,2025-07-26,False,,Payroll Reporting
REG000771,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2024,2024-04-30,9999-12-31,True,,Taxation
REG000772,US,Minimum Wage,Minimum Wage regulation for United States in 2024,2024-10-01,9999-12-31,True,,Payroll Reporting
REG000773,AU,Overtime Pay,Overtime Pay regulation for Australia in 2025,2025-02-16,9999-12-31,True,,Labor Law
REG000774,AU,Employee Benefits,Employee Benefits regulation for Australia in 2025,2025-04-21,9999-12-31,True,,Labor Law
